#,~,^,$
LineNo,Symbol,Group,name
#341,~NUE,^7,$Nucor Corp
#342,~NVDA,^7,$Nvidia Corp
#343,~NVR,^7,$NVR Inc
#344,~NWL,^7,$Newell Rubbermaid Inc
#345,~NWS,^2,$News Cp Cl B
#346,~NWSA,^2,$News Cp Cl A
#347,~NXPI,^7,$Nxp Semiconductors
#348,~O,^7,$Realty Income Corp
#349,~ODFL,^5,$Old Dominion Freight Line Inc
#350,~OGN,^7,$Organon & CO
#351,~OKE,^7,$Oneok Inc
#352,~OMC,^7,$Omnicom Group Inc
#353,~ORCL,^1,$Oracle Corp
#354,~ORLY,^7,$O'Reilly Automotive
#355,~OTIS,^7,$Otis Worldwide Corp
#356,~OXY,^7,$Occidental Petroleum Corp
#357,~PARA,^7,$Paramount Global Cl B
#358,~PAYC,^2,$Paycom Software Inc
#359,~PAYX,^1,$Paychex Inc
#360,~PCAR,^7,$Paccar Inc
#361,~PEAK,^7,$Healthpeak Properties Inc
#362,~PEG,^5,$Public Service Enterprise Group Inc
#363,~PENN,^7,$Penn Natl Gaming Inc
#364,~PEP,^7,$Pepsico Inc
#365,~PFE,^5,$Pfizer Inc
#366,~PFG,^7,$Principal Financial Group Inc
#367,~PG,^7,$Procter & Gamble Company
#368,~PGR,^7,$Progressive Corp
#369,~PH,^7,$Parker-Hannifin Corp
#370,~PHM,^7,$Pultegroup
#371,~PKG,^7,$Packaging Corp of America
#372,~PKI,^7,$Perkinelmer
#373,~PLD,^7,$Prologis Inc
#374,~PM,^2,$Philip Morris International Inc
#375,~PNC,^2,$PNC Bank
#376,~PNR,^7,$Pentair Ltd
#377,~PNW,^2,$Pinnacle West Capital Corp
#378,~POOL,^7,$Pool Corp
#379,~PPG,^7,$PPG Industries
#380,~PPL,^7,$PPL Corp
#381,~PRU,^7,$Prudential Financial Inc
#382,~PSA,^7,$Public Storage
#383,~PSX,^1,$Phillips 66
#384,~PTC,^7,$Ptc Inc
#385,~PVH,^7,$Phillips-Van Heusen Corp
#386,~PWR,^5,$Quanta Services
#387,~PXD,^7,$Pioneer Natural Resources Company
#388,~PYPL,^2,$Paypal Holdings
#389,~QCOM,^7,$Qualcomm Inc
#390,~QRVO,^7,$Qorvo Inc
#391,~RCL,^7,$Royal Caribbean Cruises Ltd
#392,~RE,^7,$Everest Re Group
#393,~REG,^7,$Regency Centers Corp
#394,~REGN,^7,$Regeneron Pharmaceuticals
#395,~RF,^7,$Regions Financial Corp
#396,~RHI,^7,$Robert Half International Inc
#397,~RJF,^7,$Raymond James Financial
#398,~RL,^5,$Ralph Lauren Corp
#399,~RMD,^7,$Resmed Inc
#400,~ROK,^7,$Rockwell Automation Inc
#401,~ROL,^7,$Rollins Inc
#402,~ROP,^7,$Roper Industries
#403,~ROST,^7,$Ross Stores Inc
#404,~RSG,^7,$Republic Services
#405,~RTX,^7,$Raytheon Technologies Corp
#406,~SBAC,^7,$SBA Communications
#407,~SBNY,^2,$Signature Bank
#408,~SBUX,^5,$Starbucks Corp
#409,~SCHW,^5,$The Charles Schwab Corp
#410,~SEDG,^7,$Solaredge Tech
#411,~SEE,^7,$Sealed Air Corp
#412,~SHW,^7,$Sherwin-Williams Company
#413,~SIVB,^2,$Svb Financial Group
#414,~SJM,^7,$J.M. Smucker Company
#415,~SLB,^7,$Schlumberger N.V.
#416,~SNA,^7,$Snap-On Inc
#417,~SNPS,^7,$Synopsys Inc
#418,~SO,^7,$Southern Company
#419,~SPG,^7,$Simon Property Group
#420,~SPGI,^7,$S&P Global Inc
#421,~SRE,^7,$Sempra
#422,~STE,^7,$Steris Corp
#423,~STT,^7,$State Street Corp
#424,~STX,^7,$Seagate Technology Hldgs Plc
#425,~STZ,^7,$Constellation Brands Inc
#426,~SWK,^7,$Stanley Black & Decker Inc
#427,~SWKS,^7,$Skyworks Solutions
#428,~SYF,^7,$Synchrony Financial
#429,~SYK,^7,$Stryker Corp
#430,~SYY,^7,$Sysco Corp
#431,~T,^1,$AT&T Inc
#432,~TAP,^5,$Molson Coors Brewing Company
#433,~TDG,^7,$Transdigm Group Inc
#434,~TDY,^7,$Teledyne Technologies Inc
#435,~TECH,^1,$Bio-Techne Cp
#436,~TEL,^7,$Te Connectivity Ltd
#437,~TER,^7,$Teradyne Inc
#438,~TFC,^7,$Truist Financial Corp
#439,~TFX,^7,$Teleflex Inc
#440,~TGT,^7,$Target Corp
#441,~TJX,^7,$TJX Companies
#442,~TMO,^7,$Thermo Fisher Scientific Inc
#443,~TMUS,^7,$T-Mobile US
#444,~TPR,^7,$Tapestry Inc
#445,~TRMB,^7,$Trimble Navigation
#446,~TROW,^7,$T Rowe Price Group
#447,~TRV,^7,$The Travelers Companies Inc
#448,~TSCO,^7,$Tractor Supply Company
#449,~TSLA,^7,$Tesla Inc
#450,~TSN,^7,$Tyson Foods
#451,~TT,^7,$Trane Technologies Plc
#452,~TTWO,^7,$Take-Two Interactive
#453,~TWTR,^1,$Twitter Inc
#454,~TXN,^1,$Texas Instruments
#455,~TXT,^1,$Textron Inc
#456,~TYL,^7,$Tyler Technologies
#457,~UA,^7,$Under Armour Inc Cl C
#458,~UAA,^7,$Under Armour
#459,~UAL,^7,$United Airlines Holdings Inc
#460,~UDR,^7,$United Dominion Realty Trust
#461,~UHS,^7,$Universal Health Services
#462,~ULTA,^7,$Ulta Beauty Inc
#463,~UNH,^7,$Unitedhealth Group Inc
#464,~UNP,^7,$Union Pacific Corp
#465,~UPS,^7,$United Parcel Service
#466,~URI,^7,$United Rentals
#467,~USB,^2,$U.S. Bancorp
#468,~V,^2,$Visa Inc
#469,~VFC,^7,$V.F. Corp
#470,~VLO,^3,$Valero Energy Corp
#471,~VMC,^7,$Vulcan Materials Company
#472,~VNO,^7,$Vornado Realty Trust
#473,~VRSK,^7,$Verisk Analytics Inc
#474,~VRSN,^7,$Verisign Inc
#475,~VRTX,^7,$Vertex Pharmaceutic
#476,~VTR,^7,$Ventas Inc
#477,~VTRS,^7,$Viatris Inc
#478,~VZ,^7,$Verizon Communications Inc
#479,~WAB,^7,$Wabtec Corp
#480,~WAT,^7,$Waters Corp
#481,~WBA,^7,$Walgreens Boots Alliance
#482,~WBD,^7,$Discovery Inc Series A
#483,~WDC,^7,$Western Digital Cp
#484,~WEC,^7,$Wisconsin Energy Corp
#485,~WELL,^7,$Welltower Inc
#486,~WFC,^7,$Wells Fargo & Company
#487,~WHR,^7,$Whirlpool Corp
#488,~WM,^7,$Waste Management
#489,~WMB,^7,$Williams Companies
#490,~WMT,^7,$Walmart Inc
#491,~WRB,^7,$W.R. Berkley Corp
#492,~WRK,^7,$Westrock Company
#493,~WST,^7,$West Pharmaceutical Services
#494,~WTW,^7,$Willis Towers Watson Public Ltd CO
#495,~WY,^7,$Weyerhaeuser Company
#496,~WYNN,^7,$Wynn Resorts Ltd
#497,~XEL,^3,$XCEL Energy Inc
#498,~XOM,^3,$Exxon Mobil Corp
#499,~XRAY,^7,$Dentsply Sirona Inc
#500,~XYL,^7,$Xylem Inc
#501,~YUM,^7,$Yum! Brands
#502,~ZBH,^7,$Zimmer Biomet Holdings
#503,~ZBRA,^7,$Zebra Technologies
#504,~ZION,^2,$Zions Bancorp
#505,~ZTS,^7,$Zoetis Inc Cl A
