Symbol,Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
EURMWK,^EURMWK,Euro/Malawi Kwachas,1182.8,0,0.00%,1182.8,1182.8,1182.8,14-07-2023
EURMXN,^EURMXN,Euro/Mexican Peso,18.813,-0.09,-0.48%,18.905,19.004,18.769,14-07-2023
EURMYR,^EURMYR,Euro/Malaysian Ringgit,5.0849,0,0.00%,5.0849,5.0849,5.0849,14-07-2023
EURNAD,^EURNAD,Euro/Namibia Dollars,20.2539,0,0.00%,20.2539,20.2539,20.2539,14-07-2023
EURNGN,^EURNGN,Euro/Nigeria Nairas,872.4,0,0.00%,872.4,872.4,872.4,14-07-2023
EURNIO,^EURNIO,Euro/Nicaragua Cordobas,41.04,0,0.00%,41.04,41.04,41.04,14-07-2023
EURNOK,^EURNOK,Euro/Norwegian Krone,11.28653,0.1208,1.08%,11.16708,11.29213,11.16115,14-07-2023
EURNPR,^EURNPR,Euro/Nepal Nepal Rupe,147.43,0,0.00%,147.43,147.43,147.43,14-07-2023
EURNZD,^EURNZD,Euro/New Zealand Dollar,1.7626,0.0064,0.36%,1.7562,1.7638,1.7526,14-07-2023
EUROCUC,^EUROCUC,Euro Coin,1.120506,-0.000277,-0.02%,1.120783,1.125866,1.120259,07:56 CT
EUROMR,^EUROMR,Euro/Omani Rial,0.4324,0.0004,0.09%,0.432,0.4326,0.4317,14-07-2023
EURPAB,^EURPAB,Euro/Panama Balboa,1.122,0,0.00%,1.122,1.122,1.122,14-07-2023
EURPEN,^EURPEN,Euro/Peru Nuevos Soles,4.0123,0,0.00%,4.0123,4.0123,4.0123,14-07-2023
EURPGK,^EURPGK,Euro/Papua New Guinea Kina,4.062,0,0.00%,4.062,4.062,4.062,14-07-2023
EURPHP,^EURPHP,Euro/Philippine Peso,61.083,0.218,0.36%,60.879,61.11,60.879,14-07-2023
EURPKR,^EURPKR,Euro/Pakistan Rupee,307.442,3.298,1.08%,307.442,307.442,307.442,14-07-2023
EURPLN,^EURPLN,Euro/Polish Zloty,4.4531,0.0083,0.19%,4.4441,4.4694,4.4422,14-07-2023
EURPYG,^EURPYG,Euro/Paraguay Guarani,8140,0,0.00%,8140,8140,8140,14-07-2023
EURQAR,^EURQAR,Euro/Qatar Riyal,4.0899,0,0.00%,4.0899,4.0899,4.0899,14-07-2023
EURRON,^EURRON,Euro/Romanian Lei,4.9395,0.0014,0.03%,4.9365,4.944,4.9365,14-07-2023
EURRSD,^EURRSD,Euro/Serbian Dinar,117.234,-0.012,-0.01%,117.246,117.258,117.215,14-07-2023
EURRUB,^EURRUB,Euro/Russian Ruble,101.3305,0.1569,0.16%,101.1756,101.781,100.7206,14-07-2023
EURRWF,^EURRWF,Euro/Rwanda Rwanda Francs,1309.9,0,0.00%,1309.9,1309.9,1309.9,14-07-2023
EURSAR,^EURSAR,Euro/Saudi Riyal,4.2137,0.0075,0.18%,4.2066,4.2145,4.2066,14-07-2023
EURSDG,^EURSDG,Euro/Sudan Pounds,672.1965,3.8083,0.57%,672.1965,672.1965,672.1965,13-07-2023
EURSEK,^EURSEK,Euro/Swedish Krona,11.50518,0.04739,0.41%,11.44338,11.52266,11.42505,14-07-2023
EURSGD,^EURSGD,Euro/Singapore Dollar,1.4839,-1.00E-04,-0.01%,1.4842,1.4852,1.4797,14-07-2023
EURSLL,^EURSLL,,999.99982,0,0.00%,999.99982,999.99982,999.99982,14-07-2023
EURSOS,^EURSOS,Euro/Somalia Shillings,639,0,0.00%,639,639,639,14-07-2023
EURSVC,^EURSVC,Euro/El Salvador Colones,9.82,0,0.00%,9.82,9.82,9.82,14-07-2023
EURSZL,^EURSZL,Euro/Swaziland Emalangeni,20.237,0,0.00%,20.237,20.237,20.237,14-07-2023
EURTHB,^EURTHB,Euro/Thai Baht,38.917,0.229,0.59%,38.698,38.92,38.698,14-07-2023
EURTJS,^EURTJS,Euro/Tajikistani Somoni,12.2808,0,0.00%,12.2808,12.2808,12.2808,14-07-2023
EURTND,^EURTND,Euro/Tunisian Dinar,3.4615,0,0.00%,3.4615,3.4615,3.4615,14-07-2023
EURTRY,^EURTRY,Euro/Turkish New Lira,29.385809,0.143017,0.49%,29.236273,29.459816,29.1996,14-07-2023
EURTTD,^EURTTD,Euro/Trinidad and Tobago Dollars,7.618,0,0.00%,7.618,7.618,7.618,14-07-2023
EURTUST,^EURTUST,Tether Eurt / Tether,1.121129,0.000125,0.01%,1.121148,1.121879,1.119382,08:00 CT
EURTWD,^EURTWD,Euro/Taiwan Dollar,34.732,-0.005,-0.01%,34.737,35.287,34.588,14-07-2023
EURTZS,^EURTZS,Euro/Tanzania Shillings,2744.5,0,0.00%,2744.5,2744.5,2744.5,14-07-2023
EURUAH,^EURUAH,Euro/Ukraine Hryvnia,41.2297,0,0.00%,41.2297,41.2297,41.2297,14-07-2023
EURUGX,^EURUGX,Euro/Uganda Shillings,4116,0,0.00%,4116,4116,4116,14-07-2023
EURUSD,^EURUSD,Euro/U.S. Dollar,1.1229,0.0003,0.03%,1.12262,1.12448,1.12046,14-07-2023
EURUYU,^EURUYU,Euro/Uruguay Pesos,42.79,0,0.00%,42.79,42.79,42.79,14-07-2023
EURUZS,^EURUZS,Euro/Uzbekistan Sums,12991,0,0.00%,12991,12991,12991,14-07-2023
EURVND,^EURVND,Euro/Viet Nam Dong,26528,0,0.00%,26528,26528,26528,14-07-2023
EURXDR,^EURXDR,Euro/Special Drawing Rights,0.8359,0,0.00%,0.8359,0.8359,0.8359,14-07-2023
EURYER,^EURYER,Euro/Yemeni Rial,280.27,1.61,0.58%,278.66,280.27,278.66,13-07-2023
EURZAR,^EURZAR,Euro/South African Rand,20.31951,0.19611,0.97%,20.12277,20.41498,20.10603,14-07-2023
EURZMW,^EURZMW,Euro/Zambian Kwacha,20.87,0,0.00%,20.87,20.87,20.87,14-07-2023
GBPEUR,^GBPEUR,British Pound/Euro,1.1659,-0.0041,-0.35%,1.1701,1.1706,1.1658,14-07-2023
GHSEUR,^GHSEUR,Ghanaian Cedis/Euro,0.07835,0,0.00%,0.07835,0.07835,0.07835,14-07-2023
HKDEUR,^HKDEUR,Hong Kong Dollar/Euro,0.11397,8.00E-05,0.07%,0.11388,0.11416,0.11376,14-07-2023
HUFEUR,^HUFEUR,Hungarian Forint/Euro,0.00267,0,0.00%,0.00267,0.00268,0.00267,14-07-2023
IDREUR,^IDREUR,Indonesian Rupiah/Euro,6.00E-05,0,0.00%,6.00E-05,6.00E-05,6.00E-05,14-07-2023
ILSEUR,^ILSEUR,Israeli Shekel/Euro,0.24669,-0.00052,-0.21%,0.24784,0.24784,0.24616,14-07-2023
INREUR,^INREUR,Indian Rupee/Euro,0.01085,-1.00E-05,-0.09%,0.01086,0.01087,0.01083,14-07-2023
JMDEUR,^JMDEUR,Jamaican Dollar/Euro,0.005763,0,0.00%,0.005763,0.005763,0.005763,14-07-2023
JODEUR,^JODEUR,Jordanian Dinar/Euro,1.2555,-0.0048,-0.38%,1.26,1.26,1.2553,14-07-2023
JPYEUR,^JPYEUR,Japanese Yen/Euro,0.00642,-3.00E-05,-0.47%,0.00645,0.00648,0.00641,14-07-2023
KRWEUR,^KRWEUR,Korean Won/Euro,0.0007,0,0.00%,0.0007,0.0007,0.0007,14-07-2023
KWDEUR,^KWDEUR,Kuwaiti Dinar/Euro,2.9078,-0.0085,-0.29%,2.9158,2.9158,2.9076,14-07-2023
KYDEUR,^KYDEUR,Caymanian Dollar/Euro,1.06989,0,0.00%,1.06989,1.06989,1.06989,14-07-2023
LTCEUR,^LTCEUR,Litecoin - EUR,84.1899,0.4762,0.57%,84.4875,85.4301,83.5228,08:00 CT
MDLEUR,^MDLEUR,Moldova Lei/Euro,0.04932,8.00E-05,0.16%,0.04925,0.04957,0.04917,14-07-2023
MUREUR,^MUREUR,Mauritian Rupee/Euro,0.01967,2.00E-05,0.10%,0.01965,0.01969,0.01963,14-07-2023
MXNEUR,^MXNEUR,Mexican Peso/Euro,0.05316,0.00026,0.49%,0.0529,0.05328,0.05262,14-07-2023
MYREUR,^MYREUR,Malaysian Ringgit/Euro,0.19671,0.00117,0.60%,0.19554,0.19671,0.19554,14-07-2023
NOKEUR,^NOKEUR,Norwegian Krone/Euro,0.0886,-0.00096,-1.07%,0.08954,0.0896,0.08854,14-07-2023
NZDEUR,^NZDEUR,New Zealand Dollar/Euro,0.5674,-0.002,-0.35%,0.5695,0.5706,0.567,14-07-2023
PENEUR,^PENEUR,Peruvian Nuevo Sol/Euro,0.24933,0,0.00%,0.24933,0.24933,0.24933,14-07-2023
PKREUR,^PKREUR,Pakistani Rupee/Euro,0.003253,0,0.00%,0.003253,0.003253,0.003253,14-07-2023
PLNEUR,^PLNEUR,Polish Zloty/Euro,0.22456,-0.00043,-0.19%,0.22502,0.2251,0.22377,14-07-2023
RUBEUR,^RUBEUR,Russian Ruble/Euro,0.00987,-1.00E-05,-0.10%,0.00989,0.00994,0.00982,14-07-2023
SAREUR,^SAREUR,Saudi Riyal/Euro,0.23733,-0.00053,-0.22%,0.23783,0.23783,0.2373,14-07-2023
SEKEUR,^SEKEUR,Swedish Krona/Euro,0.08691,-0.00037,-0.42%,0.08741,0.08749,0.08678,14-07-2023
SGDEUR,^SGDEUR,Singapore Dollar/Euro,0.67392,9.00E-05,0.01%,0.67385,0.6758,0.67342,14-07-2023
SZLEUR,^SZLEUR,Swaziland Emalangeni/Euro,0.04942,0,0.00%,0.04942,0.04942,0.04942,14-07-2023
THBEUR,^THBEUR,Thai Baht/Euro,0.0257,-1.00E-04,-0.39%,0.0258,0.0258,0.02567,14-07-2023
TWDEUR,^TWDEUR,Taiwan Dollar/Euro,0.02883,4.00E-05,0.14%,0.02879,0.02891,0.02834,14-07-2023
UAHEUR,^UAHEUR,Ukraine Hryvnia/Euro,0.02426,0,0.00%,0.02426,0.02426,0.02426,14-07-2023
USDEUR,^USDEUR,U.S. Dollar/Euro,0.89057,-0.00022,-0.02%,0.89078,0.89247,0.88932,14-07-2023
UYUEUR,^UYUEUR,Uruguayan Peso/Euro,0.02335,0,0.00%,0.02334,0.02339,0.02334,14-07-2023
VESEUR,^VESEUR,Venezuelan Bolivar/Euro,0,N/A,N/A,0,0,0,14-07-2023
VNDEUR,^VNDEUR,Vietnamese Dong/Euro,0,N/A,N/A,0,0,0,13-07-2023
XAGEUR,^XAGEUR,Silver/Euro,22.2,0.05,0.23%,22.15,22.27,22.02,14-07-2023
XAUEUR,^XAUEUR,Gold/Euro,1741.54,-4.81,-0.28%,1746.49,1748.23,1739.17,14-07-2023
XLMEUR,^XLMEUR,Stellar - Euro,0.119836,0.002653,2.26%,0.114384,0.121522,0.111658,08:00 CT
XMREUR,^XMREUR,Monero - EUR,146.3055,4.32,3.04%,146.7492,148.14,141.2814,08:00 CT
XRPEUR,^XRPEUR,XRP - EUR,0.669423,0.03322,5.22%,0.637922,0.67955,0.618656,08:00 CT
ZAREUR,^ZAREUR,South African Rand/Euro,0.04922,-0.00047,-0.95%,0.04969,0.04974,0.04898,14-07-2023
ZECEUR,^ZECEUR,Zcash - EUR,27.8177,0.0158,0.06%,27.8299,28.7565,27.395,08:00 CT
,Downloaded from Barchart.com as of 07-16-2023 08:00am CDT,,,,,,,,
